id_cadru,id_subgrupa,topic,id
31,24,Electrotehnică,747
20,24,Matematici speciale,748
808,24,Programarea calculatoarelor şi limbaje de programare II,749
410,24,Fizică I,750
138,24,Arhitectura sistemelor de calcul,751
149,24,Pedagogie I,752
31,831,Electrotehnică,753
20,831,Matematici speciale,754
808,831,Programarea calculatoarelor şi limbaje de programare II,755
410,831,Fizică I,756
138,831,Arhitectura sistemelor de calcul,757
149,831,Pedagogie I,758
31,1028,Electrotehnică,759
20,1028,Matematici speciale,760
808,1028,Programarea calculatoarelor şi limbaje de programare II,761
410,1028,Fizică I,762
138,1028,Arhitectura sistemelor de calcul,763
149,1028,Pedagogie I,764
31,933,Electrotehnică,765
20,933,Matematici speciale,766
808,933,Programarea calculatoarelor şi limbaje de programare II,767
410,933,Fizică I,768
138,933,Arhitectura sistemelor de calcul,769
149,933,Pedagogie I,770
31,1261,Electrotehnică,771
20,1261,Matematici speciale,772
808,1261,Programarea calculatoarelor şi limbaje de programare II,773
410,1261,Fizică I,774
138,1261,Arhitectura sistemelor de calcul,775
149,1261,Pedagogie I,776
11,33,Dispozitive electronice şi electronică analogică II,777
63,33,Proiectare interfeţe utilizator,778
19,33,Metode numerice,779
36,33,"Măsurări electronice, senzori şi traductori",780
75,33,Programarea calculatoarelor şi limbaje de programare III,781
13,33,Electronică digitală,782
11,34,Dispozitive electronice şi electronică analogică II,783
63,34,Proiectare interfeţe utilizator,784
19,34,Metode numerice,785
36,34,"Măsurări electronice, senzori şi traductori",786
75,34,Programarea calculatoarelor şi limbaje de programare III,787
13,34,Electronică digitală,788
183,34,Didactica specializării,789
11,35,Dispozitive electronice şi electronică analogică II,790
63,35,Proiectare interfeţe utilizator,791
19,35,Metode numerice,792
36,35,"Măsurări electronice, senzori şi traductori",793
75,35,Programarea calculatoarelor şi limbaje de programare III,794
13,35,Electronică digitală,795
11,36,Dispozitive electronice şi electronică analogică II,796
63,36,Proiectare interfeţe utilizator,797
19,36,Metode numerice,798
36,36,"Măsurări electronice, senzori şi traductori",799
75,36,Programarea calculatoarelor şi limbaje de programare III,800
13,36,Electronică digitală,801
183,36,Didactica specializării,802
11,884,Dispozitive electronice şi electronică analogică II,803
63,884,Proiectare interfeţe utilizator,804
19,884,Metode numerice,805
36,884,"Măsurări electronice, senzori şi traductori",806
75,884,Programarea calculatoarelor şi limbaje de programare III,807
13,884,Electronică digitală,808
183,884,Didactica specializării,809
11,936,Dispozitive electronice şi electronică analogică II,810
63,936,Proiectare interfeţe utilizator,811
19,936,Metode numerice,812
36,936,"Măsurări electronice, senzori şi traductori",813
75,936,Programarea calculatoarelor şi limbaje de programare III,814
13,936,Electronică digitală,815
183,936,Didactica specializării,816
11,1086,Dispozitive electronice şi electronică analogică II,817
63,1086,Proiectare interfeţe utilizator,818
19,1086,Metode numerice,819
36,1086,"Măsurări electronice, senzori şi traductori",820
75,1086,Programarea calculatoarelor şi limbaje de programare III,821
13,1086,Electronică digitală,822
11,2330,Dispozitive electronice şi electronică analogică II,823
63,2330,Proiectare interfeţe utilizator,824
19,2330,Metode numerice,825
36,2330,"Măsurări electronice, senzori şi traductori",826
75,2330,Programarea calculatoarelor şi limbaje de programare III,827
13,2330,Electronică digitală,828
183,2330,Didactica specializării,829
70,43,Baze de date,830
206,43,Managementul clasei de elevi,831
79,43,Proiectarea algoritmilor,832
63,43,Inteligenţă artificială,833
723,43,Proiectarea Aplicatiilor WEB,834
73,43,Prelucrarea numerică a imaginilor,835
70,44,Baze de date,836
79,44,Proiectarea algoritmilor,837
63,44,Inteligenţă artificială,838
723,44,Proiectarea Aplicatiilor WEB,839
73,44,Prelucrarea numerică a imaginilor,840
206,44,Managementul clasei de elevi,841
70,46,Baze de date,842
79,46,Proiectarea algoritmilor,843
63,46,Inteligenţă artificială,844
723,46,Proiectarea Aplicatiilor WEB,845
73,46,Prelucrarea numerică a imaginilor,846
70,1030,Baze de date,847
79,1030,Proiectarea algoritmilor,848
63,1030,Inteligenţă artificială,849
75,1030,Procesoare numerice de semnal,850
723,1030,Proiectarea Aplicatiilor WEB,851
70,937,Baze de date,852
79,937,Proiectarea algoritmilor,853
63,937,Inteligenţă artificială,854
75,937,Procesoare numerice de semnal,855
723,937,Proiectarea Aplicatiilor WEB,856
70,749,Baze de date,857
79,749,Proiectarea algoritmilor,858
63,749,Inteligenţă artificială,859
75,749,Procesoare numerice de semnal,860
723,749,Proiectarea Aplicatiilor WEB,861
70,49,Aplicatii integrate pentru intreprinderi,862
75,49,Arhitecturi si prelucrari paralele,863
13,49,Circuite VLSI,864
135,49,Circuite VLSI,865
67,49,Recunoaşterea formelor,866
68,49,Criptografie şi securitate informaţională,867
70,50,Aplicatii integrate pentru intreprinderi,868
75,50,Arhitecturi si prelucrari paralele,869
13,50,Circuite VLSI,870
135,50,Circuite VLSI,871
67,50,Recunoaşterea formelor,872
68,50,Criptografie şi securitate informaţională,873
70,51,Aplicatii integrate pentru intreprinderi,874
75,51,Arhitecturi si prelucrari paralele,875
13,51,Circuite VLSI,876
135,51,Circuite VLSI,877
67,51,Recunoaşterea formelor,878
68,51,Criptografie şi securitate informaţională,879
70,2333,Aplicatii integrate pentru intreprinderi,880
75,2333,Arhitecturi si prelucrari paralele,881
13,2333,Circuite VLSI,882
135,2333,Circuite VLSI,883
